0,10
10,9
20,3
30,5
40,3
50,2
60,2
70,2
80,1
90,3
100,1
110,2
120,3
130,3
140,4
150,6
160,10
170,13
180,7
190,5
200,2
210,2
220,2
230,5
240,4
250,1
260,2
270,1
280,2
290,1
300,3
310,1
320,3
330,9
340,6
350,9
