Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, NumberOfBriefFixations, NumberOfHoldFixations, DistractionUp, DistractionRight, DistractionDown, DistractionLeft, Area Containing Fixations (75%), Area Containing Fixations (50%), Area Containing Fixations (25%), Saccade Size (mean), Saccade Size (variance), Saccade Size (standard deviation), Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector8 Right Count, Sector8 Up Count, Sector8 Left Count, Sector8 Down Count, Sector8 UpRight Count, Sector8 UpLeft, Sector8 DownLeft, Sector8 DownRight, Number of Strings, Number of Lines, Number of Comparisons, Number of Scans, Number of Returns, Number of Elsewheres, Activity
163, 4993.3, 70.6632860826611, ∞, 0.0964757440813682, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4037.63265227526, 1161.17140445858, 236.111666448414, 60.8085775113719, 3013.16481971332, 54.8923020077799, 3, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, GAME
209.8, 6667.11111111111, 81.652379702683, 4.5, 0.0995005314385071, 0, 0, 0, 9, 0, 0, 0, 0, 0, 17395.6743079051, 6585.20727071911, 3850.38805007935, 70.0281517693541, 1437.20894417617, 37.9105386954098, 6, 1, 0, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 3, 0, 0, 0, GAME
217, 5228.26515151515, 72.3067434719276, 6, 0.263137699661273, 0, 0, 0, 12, 0, 0, 0, 0, 0, 25350.5770417303, 13700.912375927, 3589.73887789249, 81.6976456155737, 2752.61572758143, 52.4653764646879, 6, 3, 1, 3, 1, 3, 0, 0, 3, 1, 0, 3, 0, 3, 0, 0, 0, GAME
219.611111111111, 4187.38970588235, 64.7100433154109, 5.66666666666667, 0.156511422220697, 0, 0, 0, 17, 0, 0, 0, 0, 0, 36559.2830672264, 17634.3426433206, 7373.27579973638, 86.319772051358, 2307.36489839917, 48.0350382366786, 10, 4, 1, 3, 1, 3, 2, 1, 5, 1, 0, 3, 0, 3, 0, 0, 0, GAME
222.074074074074, 3600.48615384615, 60.0040511452865, 5.2, 0.183320987553205, 0, 0, 0, 26, 0, 0, 0, 0, 0, 59143.17489402, 20350.9363394976, 9093.12051469088, 116.798217623661, 16359.5102522194, 127.904301148239, 16, 5, 3, 6, 1, 7, 2, 1, 7, 1, 0, 4, 0, 3, 2, 0, 0, GAME
228.033333333333, 3478.23891625616, 58.9765963434324, 4.83333333333333, 0.214045230845038, 0, 0, 0, 29, 0, 0, 0, 0, 0, 59143.17489402, 25695.3769879043, 7019.94670117646, 148.135727081047, 32620.3484540579, 180.61104189406, 17, 6, 4, 7, 1, 7, 2, 1, 7, 1, 2, 4, 0, 3, 2, 2, 3, GAME
241.575757575758, 5816.11290322581, 76.2634440818523, 4.57142857142857, 0.20851881466142, 0, 0, 0, 32, 0, 0, 0, 0, 0, 74248.6570246518, 25716.9699103385, 6409.62296504527, 143.608244938165, 30363.5825665421, 174.251492293587, 19, 7, 4, 7, 1, 8, 3, 1, 8, 1, 2, 4, 0, 3, 2, 3, 3, GAME
240.378378378378, 5584.6253968254, 74.7303512424864, 4.5, 0.20226163613039, 0, 0, 0, 36, 0, 0, 0, 0, 0, 73455.8180554807, 50807.3095835298, 8524.1617494449, 136.532741985842, 27549.5901109286, 165.980691982317, 21, 7, 6, 7, 1, 8, 3, 1, 10, 1, 4, 5, 0, 3, 3, 3, 3, GAME
241.34693877551, 5076.83510638298, 71.2519130015677, 4.36363636363636, 0.141026864970601, 0, 0, 0, 48, 0, 0, 0, 0, 0, 174052.666595198, 56703.0657045543, 24631.6528469324, 121.376221305205, 21935.0948194192, 148.105012809895, 27, 10, 9, 10, 1, 13, 3, 4, 11, 1, 4, 8, 0, 3, 3, 3, 3, GAME
247.25, 6156.05019607843, 78.4605008655848, 4.25, 0.136547057963402, 0, 0, 0, 51, 0, 0, 0, 0, 0, 174052.666595198, 80864.0605375171, 24631.6528469324, 118.720434320806, 20758.0656280577, 144.076596392536, 29, 11, 9, 11, 1, 13, 4, 5, 11, 1, 4, 9, 0, 3, 3, 3, 3, GAME
249.035714285714, 6772.99124579125, 82.2981849483404, 4.23076923076923, 0.138504829901289, 0, 0, 0, 55, 0, 0, 0, 0, 0, 166119.482991211, 85589.4839697368, 24098.4924703464, 115.515412048196, 19373.8837908382, 139.190099471328, 31, 13, 9, 11, 2, 13, 5, 6, 12, 1, 4, 10, 0, 3, 3, 3, 3, GAME
249.833333333333, 6332.78842781999, 79.5788189647219, 4.21428571428571, 0.165777301317584, 0, 0, 0, 59, 0, 0, 0, 0, 0, 195349.595301069, 97170.7108492143, 30859.4864872471, 116.580841914386, 18187.8787263018, 134.862443720636, 33, 15, 9, 11, 2, 14, 5, 6, 13, 2, 5, 12, 0, 3, 3, 3, 3, GAME
265.327586206897, 18500.3389724311, 136.015951169086, 3.8, -0.0433097803599808, 0, 0, 0, 56, 1, 0, 0, 0, 0, 190522.401710033, 114229.726984344, 31470.9295830429, 145.155798710135, 32380.9910008598, 179.947189477524, 31, 14, 10, 11, 2, 12, 5, 7, 12, 2, 5, 9, 0, 0, 3, 3, 4, GAME
269.464285714286, 19483.9023569024, 139.584749728981, 3.66666666666667, -0.0340082404550179, 0, 0, 0, 54, 1, 0, 0, 0, 0, 190522.401710033, 114282.001075828, 30057.2819795012, 143.555949111325, 33726.4646633588, 183.647664464754, 30, 14, 9, 10, 2, 11, 5, 7, 12, 2, 5, 9, 0, 0, 3, 3, 5, GAME
271.25, 19896.67003367, 141.055556550141, 3.66666666666667, 0.0184101564115225, 0, 0, 0, 54, 1, 0, 0, 0, 0, 175100.032585636, 60092.3086449504, 20536.5285648033, 144.093243075832, 33726.1529968143, 183.646815917985, 27, 14, 12, 13, 2, 13, 3, 7, 9, 2, 5, 9, 0, 0, 4, 3, 5, GAME
271.927272727273, 20055.2438853948, 141.616538177555, 3.85714285714286, 0.015292948039115, 0, 0, 0, 53, 1, 0, 0, 0, 0, 163522.473974347, 86072.8460590579, 20536.5285648033, 146.8194796409, 34565.4146954325, 185.917763259546, 28, 13, 11, 12, 3, 12, 3, 7, 8, 3, 5, 9, 0, 0, 2, 3, 5, GAME
276.574074074074, 20004.4753265602, 141.437178021057, 3.78571428571429, 0.112286942636969, 0, 0, 0, 52, 1, 0, 0, 0, 0, 195920.633789171, 76344.2448069192, 21408.3893040828, 129.509788480791, 22799.6701158626, 150.995596345929, 27, 15, 9, 10, 4, 9, 3, 7, 11, 3, 5, 9, 0, 0, 2, 1, 2, GAME
