Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, Number of Short Saccades, Number of Medium Saccades, Number of Long Saccades, Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector4 Right Count, Sector4 Up Count, Sector4 Left Count, Sector4 Down Count
486.645161290323, 65772.0505747126, 256.460621879291, 2, -0.0203829785773871, 0, 0, 0, 24, 4, 1, 16, 2, 10, 22, 0, 6, 1, READ
406.368421052632, 16790.4564564565, 129.577993719831, 2.46666666666667, -0.0358686392480161, 0, 0, 0, 34, 0, 2, 25, 0, 10, 31, 0, 5, 0, READ
387.051282051282, 16597.4288762447, 128.831008985588, 2.53333333333333, -0.0755400465328808, 0, 0, 0, 34, 0, 3, 22, 0, 14, 29, 0, 8, 0, READ
453.588235294118, 55813.5416666667, 236.248897704659, 2.2, 0.204315020285412, 0, 0, 0, 28, 2, 2, 19, 2, 10, 24, 2, 6, 0, READ
521.206896551724, 67521.4113756614, 259.848824079813, 1.86666666666667, 0.158519810217675, 0, 0, 0, 21, 4, 2, 15, 4, 7, 20, 2, 4, 1, READ
442.794117647059, 36447.0473484848, 190.91109802336, 2.2, 0.017735772514936, 0, 0, 0, 28, 1, 3, 23, 2, 6, 27, 0, 4, 1, READ
399.973684210526, 21565.0075075075, 146.85028943624, 2.46666666666667, -0.0400872373207558, 0, 0, 0, 32, 2, 2, 21, 0, 14, 29, 0, 7, 0, READ
416.694444444444, 17176.7764705882, 131.0602017036, 2.33333333333333, -0.0198762330387874, 0, 0, 0, 30, 3, 1, 20, 0, 13, 27, 0, 7, 0, READ
445.558823529412, 23531.5587121212, 153.39999580222, 2.2, -0.0231085705072466, 0, 0, 0, 28, 3, 1, 18, 0, 13, 25, 0, 7, 0, READ
468.484848484849, 40702.1774193548, 201.747806479661, 2.13333333333333, -0.0248456915813917, 0, 0, 0, 27, 1, 3, 15, 0, 15, 23, 0, 8, 0, READ
464.69696969697, 22398.9506048387, 149.662789646721, 2.13333333333333, -0.0318881906052475, 0, 0, 0, 27, 0, 4, 19, 0, 11, 25, 0, 6, 0, READ
465.818181818182, 27585.5322580645, 166.088928764275, 2.13333333333333, -0.0606928161529957, 0, 0, 0, 27, 2, 2, 22, 0, 8, 27, 0, 4, 0, READ
487.322580645161, 54062.9436781609, 232.514394561199, 2, -0.0295198882175361, 0, 0, 0, 25, 3, 1, 18, 0, 10, 23, 0, 6, 0, READ
510.3, 70793.0960591133, 266.069720297356, 1.93333333333333, -0.0111504789163088, 0, 0, 0, 25, 2, 1, 15, 0, 12, 19, 0, 9, 0, READ
496.375, 50703.2451612903, 225.17381100228, 2.06666666666667, -0.00495607926796904, 0, 0, 0, 27, 1, 2, 20, 0, 9, 23, 0, 7, 0, READ
443.441176470588, 33804.5473484848, 183.860129850071, 2.2, -0.0547935685144822, 0, 0, 0, 29, 1, 2, 23, 0, 8, 26, 0, 6, 0, READ
