Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, Number of Short Saccades, Number of Medium Saccades, Number of Long Saccades, Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector4 Right Count, Sector4 Up Count, Sector4 Left Count, Sector4 Down Count
421.867132867133, 66916.2076216162, 258.681672372853, 2.36666666666667, -0.11050081959412, 0, 0, 0, 68, 59, 14, 30, 48, 62, 49, 26, 39, 27, GAME
419.243055555556, 56798.6523195115, 238.324678368631, 2.38333333333333, -0.167924615282856, 0, 0, 0, 72, 53, 17, 26, 57, 58, 43, 27, 43, 29, GAME
456.219696969697, 59363.4722254844, 243.646202977769, 2.18333333333333, -0.0249942134082228, 0, 0, 0, 71, 40, 19, 28, 41, 60, 44, 14, 51, 21, GAME
473.456692913386, 69539.5937142857, 263.703609596618, 2.1, 0.0296063689436391, 0, 0, 0, 56, 43, 26, 36, 30, 58, 50, 8, 53, 14, GAME
439.693430656934, 48875.1649237473, 221.07728269487, 2.26666666666667, 0.0587598203273028, 0, 0, 0, 61, 60, 14, 30, 37, 67, 39, 23, 46, 27, GAME
413.205479452055, 42446.4413793104, 206.025341594937, 2.41666666666667, -0.151769440992471, 0, 0, 0, 67, 61, 16, 26, 48, 69, 40, 30, 44, 30, GAME
431.387323943662, 82103.7917933131, 286.537592286445, 2.31147540983607, -0.132276338360179, 0, 0, 0, 74, 47, 19, 33, 58, 48, 48, 19, 50, 23, GAME
449.289855072464, 117986.213125549, 343.491212588545, 2.19354838709677, -0.0542903633900877, 0, 0, 0, 39, 22, 6, 20, 29, 17, 23, 8, 26, 10, GAME
451.781954887218, 43667.7670020819, 208.96833971222, 2.2, 0.117575589005972, 0, 0, 0, 114, 12, 5, 68, 5, 57, 98, 1, 30, 2, READ
462.5, 44052.1254844961, 209.885982105752, 2.15, -0.0277014714196894, 0, 0, 0, 111, 10, 7, 78, 6, 43, 99, 2, 25, 2, READ
