Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, Number of Short Saccades, Number of Medium Saccades, Number of Long Saccades, Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector4 Right Count, Sector4 Up Count, Sector4 Left Count, Sector4 Down Count
421.869158878505, 57947.2226060767, 240.722293537754, 2.36666666666667, -0.0949816493447686, 0, 0, 0, 111, 80, 21, 40, 78, 93, 68, 37, 64, 43, GAME
455.090909090909, 68050.9659173314, 260.86580058975, 2.18888888888889, -0.0116031476919093, 0, 0, 0, 99, 64, 33, 44, 64, 87, 69, 23, 76, 28, GAME
453.653266331658, 57910.4588268472, 240.645920029506, 2.2, 0.0268265799866651, 0, 0, 0, 88, 80, 29, 50, 48, 98, 67, 26, 73, 31, GAME
431.459330143541, 54501.2162532516, 233.454955512303, 2.31111111111111, -0.0878508364364073, 0, 0, 0, 100, 82, 25, 40, 73, 93, 63, 37, 64, 43, GAME
429.937062937063, 81833.3817300969, 286.065345209966, 2.32786885245902, -0.139022279866083, 0, 0, 0, 75, 47, 19, 33, 59, 48, 48, 20, 50, 23, GAME
457.532994923858, 42848.3515436944, 206.998433674495, 2.17777777777778, 0.0726519815562629, 0, 0, 0, 169, 16, 10, 109, 9, 76, 147, 3, 42, 3, READ
450.555, 31499.5832698848, 177.481219485006, 2.21111111111111, -0.0267782611314255, 0, 0, 0, 175, 10, 13, 125, 4, 68, 158, 2, 37, 1, READ
461.733333333333, 35909.3756743764, 189.497693058191, 2.15555555555556, -0.107282383312511, 0, 0, 0, 170, 12, 11, 118, 0, 74, 151, 0, 42, 0, READ
456.110429447853, 49310.5286404417, 222.059741151884, 2.18918918918919, -0.0997287116226527, 0, 0, 0, 140, 13, 8, 98, 4, 58, 124, 1, 34, 2, READ
452.909547738693, 88803.9863867097, 297.999977158908, 2.2, 0.255363370090259, 0, 0, 0, 135, 44, 18, 58, 51, 87, 107, 17, 53, 20, SEARCH
445.975369458128, 64232.8767302103, 253.442057934768, 2.24444444444444, 0.349252344681549, 0, 0, 0, 129, 52, 20, 49, 58, 93, 98, 21, 61, 21, SEARCH
464.958762886598, 78442.0566709844, 280.075091129119, 2.14444444444444, 0.469441262344362, 0, 0, 0, 120, 48, 24, 46, 53, 92, 88, 22, 60, 22, SEARCH
454.497487437186, 79704.9670563503, 282.320681240943, 2.2, 0.389089605150578, 0, 0, 0, 128, 46, 23, 50, 54, 92, 93, 21, 57, 26, SEARCH
449.378109452736, 125082.265703517, 353.669712731409, 2.22222222222222, 0.454532683241218, 0, 0, 0, 134, 42, 23, 55, 50, 93, 98, 17, 66, 18, SEARCH
431.715231788079, 128156.350290828, 357.989315889214, 2.30769230769231, 0.639293348133098, 0, 0, 0, 99, 31, 19, 36, 37, 75, 65, 15, 54, 15, SEARCH
819.981818181818, 539978.511552837, 734.832301653131, 1.21111111111111, -0.00609185926301117, 0, 0, 0, 46, 52, 10, 22, 36, 49, 39, 15, 42, 12, WATCH
621.579310344828, 286978.765297203, 535.703990368938, 1.6, 0.0324890475076416, 0, 0, 0, 69, 68, 6, 16, 62, 64, 47, 18, 52, 26, WATCH
589.21935483871, 212082.344325609, 460.523988870948, 1.69230769230769, -0.0187784332259521, 0, 0, 0, 67, 82, 4, 23, 64, 65, 50, 19, 55, 29, WATCH
613.115646258503, 243866.369012754, 493.82827887106, 1.62222222222222, -0.0119362292806668, 0, 0, 0, 58, 80, 7, 30, 52, 62, 54, 17, 49, 25, WATCH
536.017543859649, 226896.023981901, 476.336041027656, 1.86813186813187, 0.0920907967320319, 0, 0, 0, 92, 67, 10, 49, 51, 68, 60, 17, 67, 25, WATCH
541.137724550898, 202903.889448704, 450.448542509246, 1.84444444444444, 0.106355333459625, 0, 0, 0, 90, 66, 9, 53, 43, 68, 64, 14, 68, 19, WATCH
653.478260869565, 562482.452662087, 749.988301683491, 1.52222222222222, 0.0321584459593073, 0, 0, 0, 55, 72, 9, 28, 50, 57, 54, 15, 50, 17, WATCH
691.298701298701, 745811.54877193, 863.603814704364, 1.43396226415094, 0.0867454840205152, 0, 0, 0, 27, 41, 7, 9, 34, 31, 24, 10, 28, 13, WATCH
