Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, Number of Short Saccades, Number of Medium Saccades, Number of Long Saccades, Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector4 Right Count, Sector4 Up Count, Sector4 Left Count, Sector4 Down Count
425.676056338028, 62757.5488612836, 250.514568161781, 2.33333333333333, -0.0838744297481745, 0, 0, 0, 38, 27, 4, 12, 22, 34, 23, 11, 21, 14, GAME
381.46835443038, 23768.2331002331, 154.169494713556, 2.6, -0.0666001733555033, 0, 0, 0, 36, 35, 6, 19, 21, 36, 30, 13, 21, 13, GAME
408.243243243243, 71318.2226027397, 267.054718368239, 2.43333333333333, -0.257230115277178, 0, 0, 0, 29, 32, 11, 16, 26, 29, 25, 15, 19, 13, GAME
447.985294117647, 85610.7693351425, 292.593180602594, 2.23333333333333, -0.157753832999906, 0, 0, 0, 36, 17, 13, 12, 29, 24, 17, 15, 19, 15, GAME
424.802816901408, 42320.664389234, 205.719868727437, 2.33333333333333, -0.0363957792358126, 0, 0, 0, 43, 20, 6, 9, 30, 29, 18, 12, 23, 16, GAME
434.913043478261, 48880.8435030729, 221.090125295258, 2.26666666666667, 0.0388863823815343, 0, 0, 0, 33, 26, 8, 15, 18, 33, 27, 2, 30, 8, GAME
481.333333333333, 77235.4003172924, 277.912576752641, 2.06666666666667, 0.0172704850036893, 0, 0, 0, 26, 20, 15, 19, 10, 31, 27, 3, 27, 4, GAME
464.969230769231, 68447.896577381, 261.625489158417, 2.13333333333333, 0.0884802404768045, 0, 0, 0, 29, 22, 12, 20, 14, 28, 25, 4, 29, 5, GAME
455, 62826.59375, 250.652336414405, 2.16666666666667, 0.142490112685524, 0, 0, 0, 30, 23, 11, 16, 20, 27, 23, 5, 26, 10, GAME
434.942857142857, 51469.6589940324, 226.869255286018, 2.3, -0.0500072741532283, 0, 0, 0, 31, 29, 8, 13, 20, 34, 23, 9, 24, 12, GAME
413.986301369863, 35720.05614241, 188.997503005754, 2.4, -0.0629981268382286, 0, 0, 0, 32, 36, 3, 13, 18, 39, 16, 18, 20, 17, GAME
448.462686567164, 66740.748018648, 258.342307837195, 2.2, 0.0190628889799925, 0, 0, 0, 32, 27, 6, 10, 19, 35, 15, 16, 16, 18, GAME
420.191780821918, 56342.2809076682, 237.365290022927, 2.4, -0.195544303602391, 0, 0, 0, 34, 24, 13, 12, 28, 30, 25, 11, 23, 12, GAME
402.186666666667, 45469.2247315809, 213.235139532819, 2.46666666666667, -0.138926485195183, 0, 0, 0, 37, 24, 12, 16, 32, 24, 25, 11, 24, 13, GAME
