Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, NumberOfBriefFixations, NumberOfHoldFixations, DistractionUp, DistractionRight, DistractionDown, DistractionLeft, Area Containing Fixations (75%), Area Containing Fixations (50%), Area Containing Fixations (25%), Saccade Size (mean), Saccade Size (variance), Saccade Size (standard deviation), Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector8 Right Count, Sector8 Up Count, Sector8 Left Count, Sector8 Down Count, Sector8 UpRight Count, Sector8 UpLeft, Sector8 DownLeft, Sector8 DownRight, Number of Strings, Number of Lines, Number of Comparisons, Number of Scans, Number of Returns, Number of Elsewheres, Activity
386.205128205128, 62328.0768136557, 249.655916840871, 2.53333333333333, 0.0770224437739378, 38, 0, 0, 30, 8, 0, 0, 0, 0, 83985.6256351015, 28041.5486428998, 8209.62190628052, 84.2538877597268, 3226.03606907202, 56.7982048050114, 20, 10, 6, 4, 7, 4, 7, 2, 5, 5, 3, 4, 0, 4, 1, 0, 0, DEBUG
387.439024390244, 59197.0865384615, 243.304514011684, 2.66666666666667, 0.0532345747943718, 40, 0, 0, 32, 8, 0, 0, 0, 0, 52515.6258272771, 32716.0307127386, 8497.82674759626, 82.8801216519085, 3121.95899317481, 55.8744932252169, 21, 11, 6, 5, 8, 4, 7, 2, 5, 5, 3, 4, 0, 4, 1, 0, 0, DEBUG
387.159090909091, 56916.9014396456, 238.572633467558, 2.52941176470588, 0.0715746688120502, 43, 0, 0, 34, 9, 0, 0, 0, 0, 58119.210619621, 33394.2972258553, 10122.9234819151, 80.9302114609702, 3064.68123560033, 55.3595631810831, 21, 11, 9, 6, 8, 6, 7, 2, 5, 5, 3, 4, 0, 6, 1, 0, 0, DEBUG
397.521739130435, 70189.7797979798, 264.93353845442, 2.5, 0.144914661571156, 45, 0, 0, 35, 10, 0, 0, 0, 0, 68436.7139729038, 32740.7632165626, 16877.7786649223, 81.5272106632717, 2930.53021805287, 54.1343718727101, 23, 11, 9, 6, 9, 6, 7, 2, 5, 5, 4, 4, 0, 7, 2, 0, 0, DEBUG
401.06, 65029.4804421769, 255.008785029412, 2.45, 0.245427332307507, 49, 0, 0, 38, 11, 0, 0, 0, 0, 91222.4709982798, 28101.6310806312, 16122.000028789, 82.4258425379774, 3004.54793375622, 54.8137567929458, 25, 11, 11, 8, 9, 8, 7, 2, 5, 5, 4, 4, 0, 7, 4, 0, 0, DEBUG
402.076923076923, 62457.9184313725, 249.915822691106, 2.55, 0.259130220297893, 51, 0, 0, 40, 11, 0, 0, 0, 0, 86764.1845608316, 27937.3646271229, 13463.4322316162, 80.5612878340287, 2981.32211835305, 54.6014845801197, 26, 12, 11, 9, 9, 8, 7, 2, 5, 6, 4, 4, 0, 7, 5, 0, 0, DEBUG
398.272727272727, 59772.2700908455, 244.483680622747, 2.57142857142857, 0.277501218898347, 54, 0, 0, 43, 11, 0, 0, 0, 0, 89563.3342408575, 27937.3646271229, 14670.4431515336, 86.8460501523378, 4120.68014863976, 64.1925240868418, 27, 13, 12, 9, 10, 8, 8, 2, 6, 6, 4, 5, 0, 7, 5, 0, 0, DEBUG
405.120689655172, 59688.6434837093, 244.312593788591, 2.47826086956522, 0.325110883198561, 57, 0, 0, 45, 12, 0, 0, 0, 0, 86764.1845608316, 29306.4468548298, 15913.8684657589, 90.6847142056871, 4478.15156139422, 66.9189925312255, 29, 13, 13, 9, 12, 8, 8, 2, 6, 6, 5, 5, 0, 7, 5, 0, 0, DEBUG
389.681818181818, 56699.5346153846, 238.11664077797, 2.6, 0.314807418176194, 65, 0, 0, 52, 13, 0, 0, 0, 0, 92227.3699787445, 31887.1748871729, 18870.0775332768, 90.2411464639011, 4752.91345995109, 68.9413769803816, 33, 14, 16, 10, 14, 9, 10, 2, 6, 6, 7, 5, 0, 7, 5, 0, 0, DEBUG
389.811594202899, 54949.5054872695, 234.413108608008, 2.61538461538462, -0.193761412292164, 66, 0, 0, 54, 14, 0, 0, 0, 0, 102417.964881688, 45545.9953299537, 18281.4674619474, 105.91897862733, 25588.1470101406, 159.962955118179, 35, 15, 16, 10, 15, 9, 10, 4, 6, 6, 7, 5, 0, 7, 5, 0, 0, DEBUG
390.225352112676, 53427.2057971014, 231.143258169261, 2.59259259259259, -0.164208372200911, 67, 0, 0, 56, 14, 0, 0, 0, 0, 119174.195317388, 60420.0060888194, 34527.0840393752, 108.066841634658, 25129.7721789729, 158.523727495201, 35, 15, 18, 10, 16, 9, 11, 4, 6, 6, 7, 5, 0, 7, 5, 0, 1, DEBUG
385.853333333333, 51315.5159200296, 226.529282698793, 2.64285714285714, -0.168918701343954, 71, 0, 0, 60, 14, 0, 0, 0, 0, 114567.632061392, 59706.7965638787, 34527.0840393752, 120.695794016832, 42044.8429878884, 205.048391819805, 39, 15, 18, 11, 16, 10, 12, 4, 7, 6, 7, 5, 0, 7, 5, 0, 2, DEBUG
382.897435897436, 49704.2987012987, 222.944609042916, 2.6551724137931, -0.177564155123004, 74, 0, 0, 63, 14, 0, 0, 0, 0, 105255.42104898, 59706.7965638787, 20057.4413407929, 119.186368092387, 40479.0881754985, 201.194155420824, 42, 15, 18, 14, 16, 10, 11, 4, 6, 8, 7, 8, 0, 9, 5, 0, 2, DEBUG
383.666666666667, 50484.5201640465, 224.687605719689, 2.6551724137931, -0.190443466029653, 74, 0, 0, 62, 15, 0, 0, 0, 0, 93832.8973153681, 61800.7157691047, 20274.0558070429, 118.58762493846, 40460.1829298754, 201.14716734241, 42, 14, 19, 14, 16, 12, 11, 3, 6, 7, 7, 9, 0, 10, 6, 0, 2, DEBUG
395.710526315789, 55220.7430630631, 234.990942512819, 2.5, -0.192255112633542, 72, 0, 0, 59, 16, 0, 0, 0, 0, 102624.007994164, 61800.7157691047, 11391.1299535446, 118.609382732603, 41028.56188335, 202.555083578147, 42, 13, 18, 13, 16, 11, 11, 3, 6, 6, 8, 8, 0, 10, 6, 0, 2, DEBUG
394.381578947368, 56417.8281081081, 237.524373713748, 2.58620689655172, -0.191803991352121, 72, 0, 0, 59, 16, 0, 0, 0, 0, 94174.7223438341, 54245.3516668081, 11391.1299535446, 117.489730904032, 41126.2358401898, 202.796044932316, 44, 11, 18, 13, 17, 10, 11, 4, 5, 6, 8, 7, 0, 10, 6, 0, 2, DEBUG
384.769230769231, 54533.9183185236, 233.524984356115, 2.56666666666667, -0.201329284598918, 74, 0, 0, 62, 15, 0, 0, 0, 0, 84175.1530445069, 60212.0748139024, 11391.1299535446, 115.071319478042, 40230.9389356155, 200.576516411108, 44, 12, 19, 14, 17, 11, 11, 4, 5, 6, 8, 8, 0, 10, 7, 0, 2, DEBUG
388.657894736842, 55803.947027027, 236.228590621514, 2.58620689655172, -0.224814279095145, 72, 0, 0, 60, 15, 0, 0, 0, 0, 81374.4023602344, 35986.4570202492, 10401.7361775972, 116.127133835399, 41265.3553544634, 203.138758868079, 44, 10, 19, 15, 16, 11, 10, 3, 5, 6, 8, 8, 0, 11, 7, 0, 2, DEBUG
375.597402597403, 42089.291754386, 205.156749229427, 2.71428571428571, -0.233155973380932, 73, 0, 0, 61, 15, 0, 0, 0, 0, 73117.6145301387, 35039.7775566671, 10065.903723117, 115.892286977709, 40802.3118836013, 201.995821450844, 43, 10, 21, 16, 15, 13, 9, 3, 5, 6, 8, 9, 0, 12, 8, 0, 2, DEBUG
371.234567901235, 38628.8702531645, 196.542286170596, 2.66666666666667, -0.256572993168271, 75, 0, 0, 65, 15, 0, 0, 0, 0, 84823.1728041172, 36168.0062472448, 11675.8239701577, 119.870124454262, 41431.767931403, 203.547949956277, 46, 10, 22, 19, 16, 14, 8, 4, 4, 6, 8, 12, 0, 13, 8, 0, 2, DEBUG
