Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Activity
395.473684210526, 38015.3618618619, 194.975285259086, 2.46666666666667, -0.688886472864377, DEBUG
401.175, 41205.991902834, 202.992590758466, 2.4375, -0.695346753052252, DEBUG
396.116279069767, 39288.3513356562, 198.212893969227, 2.47058823529412, -0.6973929047415, DEBUG
392.565217391304, 37460.2555555556, 193.546520391237, 2.5, -0.696207798684017, DEBUG
392.5, 35837.5208140611, 189.308005150498, 2.61111111111111, -0.680781370556869, DEBUG
389.156862745098, 36043.4453061224, 189.851113523525, 2.63157894736842, -0.675159546501446, DEBUG
379.381818181818, 35246.962962963, 187.741745392342, 2.7, -0.683502784926512, DEBUG
383.824561403509, 37462.0038961039, 193.551036928516, 2.66666666666667, -0.685657422537424, DEBUG
387.322033898305, 36633.7894736842, 191.399554528437, 2.63636363636364, -0.687361552122545, DEBUG
391.049180327869, 36099.3683615819, 189.998337786366, 2.60869565217391, -0.695405915767443, DEBUG
407.171875, 51474.3968253968, 226.879696811762, 2.42307692307692, -0.685806171748487, DEBUG
407.171875, 51474.3968253968, 226.879696811762, 2.42307692307692, -0.685806171748487, DEBUG
401.507462686567, 50052.7377622378, 223.724691892151, 2.53846153846154, -1.25220519514523, DEBUG
460.397058823529, 287910.411578471, 536.572839024182, 2.16129032258065, -1.24776988901091, DEBUG
460.397058823529, 287910.411578471, 536.572839024182, 2.16129032258065, -1.24776988901091, DEBUG
460.397058823529, 287910.411578471, 536.572839024182, 2.16129032258065, -1.24776988901091, DEBUG
462.045454545455, 296784.163461539, 544.779004240746, 2.16666666666667, -1.44391677935541, DEBUG
452.954545454545, 292987.884615385, 541.283552877219, 2.24137931034483, -1.73287427458624, DEBUG
451.716417910448, 288715.880885781, 537.322883270181, 2.2, -2.70271484973744, DEBUG
453.090909090909, 293074.902403846, 541.363927874629, 2.24137931034483, -2.84837947977565, DEBUG
440.44776119403, 284377.738927739, 533.270793244613, 2.27586206896552, -2.77826947936357, DEBUG
439.191176470588, 280293.343735866, 529.42737342894, 2.31034482758621, -2.77695462852581, DEBUG
458.462686567164, 298739.722377622, 546.57087589591, 2.2, -2.43549996037112, DEBUG
465.815384615385, 307418.403769841, 554.453247596081, 2.13333333333333, -2.14126390482365, DEBUG
463.092307692308, 307355.874751984, 554.396856729892, 2.13333333333333, -1.79975999892778, DEBUG
478.96875, 315894.635944701, 562.045047967421, 2.1, -1.79724581334332, DEBUG
485.225806451613, 324934.483606558, 570.030247975103, 2.03333333333333, -1.79384077522718, DEBUG
483, 326234.743169399, 571.169627316963, 2.10344827586207, -1.79142428727989, DEBUG
474.539682539683, 322493.896351137, 567.885460591427, 2.13793103448276, -1.79299426767512, DEBUG
488.41935483871, 328180.615300546, 572.870504826829, 2.03333333333333, -1.80435708684582, DEBUG
488.209677419355, 328974.103825137, 573.562641587766, 2.03333333333333, -1.82898952949392, DEBUG
485.129032258065, 326240.843169399, 571.174967211798, 2.03333333333333, -1.82491294834177, DEBUG
482.903225806452, 326831.316939891, 571.691627488011, 2.10344827586207, -1.82813006912046, DEBUG
474.571428571429, 323971.45637229, 569.184905256885, 2.13793103448276, -1.851761317755, DEBUG
477.587301587302, 323919.684822845, 569.139424765887, 2.06666666666667, -1.86907404558773, DEBUG
480.698412698413, 321442.415653094, 566.958918840769, 2.06666666666667, -1.88359222665417, DEBUG
485.887096774194, 325203.394535519, 570.266073456522, 2.03333333333333, -1.86029884868824, DEBUG
488.129032258065, 323673.182513661, 568.922826500802, 2.03333333333333, -1.85600213319584, DEBUG
483.984126984127, 319538.496298255, 565.277362272942, 2.06666666666667, -1.85159743748222, DEBUG
481.380952380952, 319390.453992596, 565.146400495125, 2.06666666666667, -1.83539747650867, DEBUG
468.91935483871, 311815.642622951, 558.404551040687, 2.10344827586207, -1.84348692863501, DEBUG
460.061538461538, 299286.984126984, 547.071278835751, 2.20689655172414, -1.85115127515358, DEBUG
462.569230769231, 298422.799355159, 546.28087954381, 2.13333333333333, -1.61167649332328, DEBUG
403.833333333333, 48876.5134615384, 221.080332597765, 2.5, -1.62052341832725, DEBUG
398.695652173913, 47611.7129060579, 218.201083650054, 2.51851851851852, -1.6230132137648, DEBUG
400.986111111111, 45890.6068410463, 214.22092997895, 2.53571428571429, -1.61911586199356, DEBUG
398.959459459459, 44996.9699391172, 212.124892313743, 2.51724137931034, -1.62596666635127, DEBUG
405.148648648649, 46382.2134703196, 215.365302382532, 2.51724137931034, -1.77572216019994, DEBUG
409.301369863014, 46739.1969874804, 216.192499840953, 2.48275862068966, -1.31278551814943, DEBUG
415.319444444444, 49931.7710261569, 223.454181044251, 2.44827586206897, -1.17109595715661, DEBUG
412.611111111111, 50491.9046277666, 224.704037853721, 2.44827586206897, -0.761125789227816, DEBUG
407.178082191781, 49853.6338028169, 223.279273115121, 2.48275862068966, -0.747316952711495, DEBUG
397.746666666667, 35490.7110329507, 188.38978484236, 2.55172413793103, -0.721193567642715, DEBUG
393.328947368421, 34861.8695495496, 186.713335221536, 2.58620689655172, -0.681288452383169, DEBUG
398.026666666667, 34485.9155868197, 185.703838373954, 2.55172413793103, -0.413932446145494, DEBUG
