Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, NumberOfBriefFixations, NumberOfHoldFixations, DistractionUp, DistractionRight, DistractionDown, DistractionLeft, Area Containing Fixations (75%), Area Containing Fixations (50%), Area Containing Fixations (25%), Saccade Size (mean), Saccade Size (variance), Saccade Size (standard deviation), Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector8 Right Count, Sector8 Up Count, Sector8 Left Count, Sector8 Down Count, Sector8 UpRight Count, Sector8 UpLeft, Sector8 DownLeft, Sector8 DownRight, Number of Strings, Number of Lines, Number of Comparisons, Number of Scans, Number of Returns, Number of Elsewheres, Activity
395.473684210526, 38015.3618618619, 194.975285259086, 2.46666666666667, -0.688886472864377, 32, 0, 5, 30, 7, 0, 0, 0, 0, 30578.2732641697, 20357.4675954822, 7785.52738898247, 80.8032646671829, 16173.155076568, 127.173720070493, 24, 2, 9, 13, 2, 9, 2, 3, 2, 3, 2, 13, 0, 3, 3, 0, 1, DEBUG
401.175, 41205.991902834, 202.992590758466, 2.4375, -0.695346753052252, 34, 0, 5, 31, 8, 0, 0, 0, 0, 40297.671174407, 20357.4675954822, 7785.52738898247, 82.0992642212687, 15443.6244693705, 124.272380154926, 26, 2, 9, 13, 3, 9, 2, 3, 2, 3, 3, 13, 0, 3, 3, 0, 1, DEBUG
396.116279069767, 39288.3513356562, 198.212893969227, 2.47058823529412, -0.6973929047415, 37, 0, 5, 34, 8, 0, 0, 0, 0, 55587.486359477, 20357.4675954822, 8553.41685925424, 84.7415074969059, 14814.2160211368, 121.713664069146, 28, 3, 9, 13, 4, 9, 3, 3, 2, 4, 3, 13, 0, 3, 3, 0, 1, DEBUG
392.565217391304, 37460.2555555556, 193.546520391237, 2.5, -0.696207798684017, 40, 0, 5, 37, 8, 0, 0, 0, 0, 62049.1458934546, 24733.8905958496, 8629.30610676855, 88.256712155876, 14368.2128542356, 119.867480386615, 29, 4, 10, 13, 5, 9, 4, 3, 2, 5, 3, 13, 0, 3, 3, 0, 1, DEBUG
389.156862745098, 36043.4453061224, 189.851113523525, 2.63157894736842, -0.675159546501446, 45, 0, 5, 41, 9, 0, 0, 0, 0, 82169.8472295972, 36885.3441815395, 9754.2022833135, 92.3742434901588, 14730.1100422989, 121.367664731175, 33, 5, 10, 14, 7, 9, 4, 4, 2, 6, 3, 13, 0, 3, 3, 0, 1, DEBUG
379.381818181818, 35246.962962963, 187.741745392342, 2.7, -0.683502784926512, 49, 0, 5, 45, 9, 0, 0, 0, 0, 72685.00342, 36885.3441815395, 11988.0670129061, 89.4064816852197, 13761.8428301551, 117.310881124281, 37, 5, 10, 16, 7, 9, 4, 4, 3, 7, 3, 13, 0, 3, 3, 0, 2, DEBUG
383.824561403509, 37462.0038961039, 193.551036928516, 2.66666666666667, -0.685657422537424, 51, 0, 5, 46, 10, 0, 0, 0, 0, 65719.1944915056, 39796.805297289, 10682.2199147195, 88.6959443307607, 13401.7169056762, 115.765784693389, 39, 5, 10, 16, 7, 9, 4, 5, 4, 7, 3, 13, 0, 5, 3, 0, 2, DEBUG
387.322033898305, 36633.7894736842, 191.399554528437, 2.63636363636364, -0.687361552122545, 53, 0, 5, 47, 11, 0, 0, 0, 0, 65719.1944915056, 26686.2042398974, 13128.6151819229, 87.0586231875236, 13006.2832804142, 114.045093188678, 41, 5, 10, 16, 7, 10, 4, 5, 4, 7, 4, 13, 0, 7, 3, 0, 2, DEBUG
407.171875, 51474.3968253968, 226.879696811762, 2.42307692307692, -0.685806171748487, 58, 0, 5, 49, 14, 0, 0, 0, 0, 65719.1944915056, 39796.805297289, 14068.8231356144, 88.0902878775242, 12760.891475503, 112.964115875366, 43, 5, 13, 18, 8, 11, 5, 5, 4, 7, 4, 13, 0, 8, 4, 0, 2, DEBUG
401.507462686567, 50052.7377622378, 223.724691892151, 2.53846153846154, -1.25220519514523, 59, 0, 5, 52, 14, 0, 0, 2, 0, 80430.6242984533, 52428.374650564, 26670.7702315338, 139.156053239163, 99910.2707379971, 316.085859756486, 45, 5, 14, 18, 8, 12, 6, 6, 4, 7, 4, 13, 0, 8, 4, 0, 3, DEBUG
